Date, Open, High, Low,Close, Volume
05/29/19,28.1,28.3,27.8,28,17196699
05/28/19,26.95,28.65,26.9,28.35,28201600
05/27/19,26.5,27,26.5,26.8,889200
05/24/19,26.3,27,26.2,26.45,12182000
05/23/19,26.15,26.25,26.05,26.15,640200
05/22/19,26.05,27,26.05,26.1,13510200
05/21/19,26.25,26.5,26,26.35,8351400
05/20/19,26.05,26.5,26.05,26.2,5777400
05/17/19,26.2,26.6,26.05,26.15,12300000
05/16/19,26.7,26.7,26.05,26.25,6430300
05/15/19,27.2,27.2,26.35,26.7,9707700
05/14/19,27.2,27.2,26.1,26.4,8458600
05/13/19,28,28,27,27.2,8460600
05/10/19,27.9,27.9,27.2,27.45,3582300
05/09/19,28.3,28.3,27.8,27.95,5293700
05/08/19,29,29,28,28.15,3401200
05/07/19,29.5,29.5,28.2,28.6,4354900
05/06/19,29,29,28.5,28.65,2746400
05/03/19,29.8,30,28.35,29.25,4963400
05/02/19,28.25,30,28.25,29.55,7890300
04/30/19,28.2,28.6,28.1,28.15,2694500
04/29/19,28.5,28.5,27.85,28,3263500
04/26/19,27.85,28,27.85,27.95,2881500
04/25/19,28,28.1,27.9,27.95,14337500
04/24/19,27.85,28.1,27.85,28,8046000
04/23/19,28,28,27.65,27.95,4287700
04/18/19,27.8,28,27.65,27.85,1773800
04/17/19,27.6,28,27.6,27.85,2210700
04/16/19,27.3,27.75,27.3,27.5,7255600
04/15/19,27.2,27.5,27.05,27.3,1273300
04/12/19,27.75,27.75,27.05,27.5,6692400
04/11/19,27.8,27.8,27.6,27.7,3305000
04/10/19,27.9,28,27.65,27.75,10065600
04/09/19,28,28,27.6,27.85,10031100
04/08/19,27.85,28,27.65,28,15722000
04/05/19,28,28.1,27.65,28,11067300
04/04/19,28.15,28.2,28,28.05,3202600
04/03/19,28,28.2,28,28.1,2479600
04/02/19,28,28.5,28,28.1,12059300
04/01/19,28,28.1,27.6,27.9,8473300
03/29/19,27,27.7,27,27.55,5203900
03/28/19,27,27.25,27,27.1,1941600
03/27/19,27.5,27.75,26.95,27.25,8522900
03/26/19,27.95,27.95,27.2,27.6,17525699
03/25/19,28.15,28.2,27.5,27.95,22976100
03/22/19,28.65,28.65,28,28.15,6937100
03/21/19,30,30,28.3,28.65,7725600
03/20/19,28,28.75,28,28.55,3771500
03/19/19,28.5,28.5,27.6,28,19000400
03/18/19,27.6,28.75,27.5,28.5,12842900
03/15/19,27,28.1,26.8,27.75,9914300
03/14/19,27,27.1,26.75,27,7634700
03/13/19,26.85,27,26.5,26.75,13639600
03/12/19,27,27,26.7,26.9,4065500
03/11/19,27,27,26.75,26.9,2078300
03/08/19,26.9,27.45,26.8,27,15997900
03/07/19,26.6,27,26.6,26.8,2958300
03/06/19,26.55,26.75,26.4,26.6,5447000
03/05/19,26.5,26.55,26.3,26.5,4233400
03/04/19,26.5,26.55,26.05,26.45,3349100
03/01/19,26,26.5,26,26.1,9109400
02/28/19,26.5,26.5,25.95,26,13900000
02/27/19,26.6,26.7,26.3,26.55,4048100
02/26/19,26.5,26.65,26.3,26.6,3376100
02/25/19,26.15,26.7,26.15,26.5,4925400
02/22/19,26.05,26.2,26,26.05,5415200
02/21/19,26.1,26.15,26,26,9916300
02/20/19,26.05,26.5,26.05,26.15,2628000
02/19/19,26.1,26.5,26,26.15,2413900
